Class,Common name,Metabolic rate (W),Body mass (g),Maximum longevity (yrs)
Mammalia,Least shrew,0.164,6.3,3.5
Mammalia,Eurasian water shrew,0.328,16.0,3.1
Mammalia,Eurasian shrew,0.348,8.4,3.2
Mammalia,White-toothed pygmy shrew,0.063,2.4,3.2
Mammalia,Asian house shrew,0.403,39.7,3.2
Mammalia,Star-nosed mole,0.615,49.0,2.5
Mammalia,Eastern mole,0.378,48.0,6.2
Mammalia,Aardvark,34.275,48000.0,29.8
Reptilia,American alligator,0.1539,1079.0,77.0
Reptilia,Tuatara,0.0605,430.0,90.0
Reptilia,Southern alligator lizard,0.0132,31.5,9.8
Reptilia,Boa constrictor,0.3589,3532.0,40.4
Reptilia,European grass snake,0.0295,94.2,20.0
Reptilia,Desert iguana,0.0441,69.5,14.6
Reptilia,European green lizard,0.00337,15.7,10.0
Reptilia,Indian python,1.2661,12370.0,34.2
Reptilia,Reticulated python,2.7349,32000.0,29.4
Reptilia,Great Plains skink,0.0206,30.0,7.3
Reptilia,Australian blue-tongued lizard,0.2127,493.0,26.6
Reptilia,Western whiptail,0.017,18.0,7.8
Reptilia,Painted turtle,0.0236,400.0,61.0
Reptilia,Common slider,0.1157,240.0,41.3
